Quantity,product_id,price,freight_value,sku,category_name,created_at,updated_at,description,name,active,seller_id,status
3978,270,9018,1,Voluptatum.,MusicAutomotiveGroceryBabyMusic,02.01.2023,28.09.2023 23:34:12,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Tasty Concrete Shirt,True,0,Refined
8938,820,6431,3,Minima.,IndustrialMoviesMusicComputers,29.01.2023,28.09.2023 15:17:27,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Intelligent Wooden Ball,True,0,Sleek
1162,860,3688,4,Et.,ElectronicsShoesBeauty,12.03.2023,28.09.2023 10:30:44,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Intelligent Fresh Bike,True,0,Fantastic
8439,230,2671,2,Nihil.,GamesSportsComputersComputersHealth,06.06.2023,28.09.2023 16:09:17,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Generic Fresh Chips,True,0,Fantastic
4745,207,460,4,Dolor.,ShoesOutdoors,14.10.2022,28.09.2023 02:46:55,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Small Fresh Chair,True,0,Unbranded
6156,361,3401,5,Fugiat.,ToysKidsComputers,27.07.2023,28.09.2023 23:03:43,The Football Is Good For Training And Recreational Purposes,Gorgeous Soft Towels,True,0,Refined
7914,184,5978,4,Aliquid.,ShoesKidsShoes,21.02.2023,28.09.2023 20:53:11,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Handmade Steel Chips,True,0,Refined
5945,952,3188,1,Nisi.,OutdoorsSportsToysClothing,17.02.2023,28.09.2023 07:45:57,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Intelligent Cotton Sausages,True,0,Incredible
1569,912,5639,2,Dolorem.,OutdoorsHome,05.08.2023,28.09.2023 01:54:16,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Fantastic Wooden Chicken,True,0,Intelligent
1017,722,216,2,Cumque.,BeautyHomeToysKids,28.05.2023,28.09.2023 10:46:43,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Small Plastic Shoes,True,0,Fantastic
6424,874,3246,3,Doloribus.,OutdoorsBaby,07.10.2022,28.09.2023 02:25:43,The Football Is Good For Training And Recreational Purposes,Handmade Metal Shoes,True,0,Rustic
4361,888,6093,0,Quibusdam.,Music,04.11.2022,28.09.2023 12:10:47,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Rustic Granite Gloves,True,0,Awesome
6385,102,3968,0,Officiis.,HomeHomeMoviesBeauty,13.04.2023,28.09.2023 16:53:35,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Refined Steel Sausages,True,0,Fantastic
9050,505,6444,4,Doloremque.,MoviesMoviesAutomotiveClothingBeauty,10.01.2023,28.09.2023 21:12:02,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Practical Wooden Ball,True,0,Refined
7542,417,779,2,Labore.,AutomotiveShoes,15.06.2023,28.09.2023 12:37:10,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Intelligent Fresh Gloves,True,0,Handcrafted
9149,289,5075,0,Necessitatibus.,MoviesToolsMovies,25.08.2023,28.09.2023 04:52:44,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Fantastic Wooden Chicken,True,0,Handcrafted
9632,933,8338,3,Dolor.,ComputersMoviesMusicGroceryComputers,15.03.2023,28.09.2023 15:05:27,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Ergonomic Plastic Keyboard,True,0,Sleek
1300,478,9086,2,Quisquam.,ToysSports,09.11.2022,28.09.2023 22:12:34,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Handcrafted Concrete Chicken,True,0,Rustic
1703,428,574,4,Voluptatem.,Kids,02.11.2022,28.09.2023 07:51:18,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Generic Rubber Ball,True,0,Generic
9472,930,2634,5,Id.,AutomotiveBabyMusicBabyShoes,28.07.2023,28.09.2023 20:17:40,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Generic Steel Pants,True,0,Tasty
2482,240,3260,0,Delectus.,ToolsIndustrial,18.11.2022,28.09.2023 13:36:48,The Football Is Good For Training And Recreational Purposes,Handcrafted Rubber Chair,True,0,Incredible
1451,739,5842,3,Aut.,BooksHealthGardenToysJewelery,26.12.2022,28.09.2023 08:06:43,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Generic Rubber Mouse,True,0,Rustic
470,236,3937,0,Consequuntur.,JeweleryClothingKidsBooksIndustrial,05.05.2023,28.09.2023 00:39:20,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Generic Granite Bike,True,0,Licensed
3818,550,4298,0,Praesentium.,Industrial,19.09.2023,28.09.2023 16:39:13,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Refined Metal Sausages,True,0,Unbranded
7215,867,430,2,Ut.,ToysToysIndustrial,23.11.2022,27.09.2023 23:39:50,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Generic Soft Soap,True,0,Practical
4619,53,1937,2,Officiis.,ElectronicsJewelery,07.02.2023,28.09.2023 15:29:15,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Gorgeous Frozen Soap,True,0,Sleek
8360,601,100,1,Sint.,ToolsGamesBooksToysBeauty,12.11.2022,28.09.2023 16:25:07,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Small Cotton Pizza,True,0,Awesome
9143,861,7450,3,Nulla.,BeautyBaby,02.08.2023,28.09.2023 08:58:38,The Football Is Good For Training And Recreational Purposes,Ergonomic Frozen Chair,True,0,Incredible
8687,402,562,5,Sed.,Sports,25.03.2023,28.09.2023 10:42:28,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Small Cotton Keyboard,True,0,Unbranded
4234,882,1055,1,Et.,ElectronicsToys,11.05.2023,28.09.2023 23:25:45,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Handmade Rubber Hat,True,0,Licensed
2210,317,731,5,Impedit.,BabyOutdoorsAutomotive,04.06.2023,28.09.2023 01:49:22,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Incredible Steel Ball,True,0,Generic
8383,401,7467,3,Aut.,Kids,29.08.2023,28.09.2023 14:19:19,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Ergonomic Granite Hat,True,0,Gorgeous
273,957,6019,1,Sint.,ShoesBabyGamesBaby,02.10.2022,28.09.2023 21:38:02,The Football Is Good For Training And Recreational Purposes,Awesome Rubber Ball,True,0,Handcrafted
954,354,748,4,Voluptatem.,GamesClothingAutomotiveMoviesJewelery,12.09.2023,28.09.2023 02:52:11,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Awesome Concrete Ball,True,0,Handcrafted
478,807,9662,0,Magnam.,Shoes,12.09.2023,28.09.2023 22:46:13,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Unbranded Soft Fish,True,0,Unbranded
9610,681,8083,4,Cupiditate.,IndustrialGroceryShoes,05.04.2023,28.09.2023 22:17:27,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Refined Rubber Pants,True,0,Sleek
5529,616,3652,3,Id.,SportsComputersHealth,10.12.2022,28.09.2023 00:18:10,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Unbranded Granite Mouse,True,0,Practical
7041,688,6549,4,Voluptatem.,Home,10.03.2023,28.09.2023 21:55:59,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Gorgeous Metal Bike,True,0,Gorgeous
1927,28,9362,4,Qui.,BeautyOutdoorsIndustrial,16.05.2023,28.09.2023 17:06:33,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Sleek Frozen Computer,True,0,Intelligent
3178,79,7443,2,Similique.,GroceryGrocery,07.04.2023,28.09.2023 12:42:59,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Small Steel Soap,True,0,Intelligent
8557,988,9776,2,Quia.,IndustrialComputersToysElectronics,26.12.2022,28.09.2023 05:50:38,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Rustic Wooden Hat,True,0,Licensed
