product_id,price,freight_value,sku,category_name,created_at,updated_at,description,name,active,seller_id,status
0,9177,5,Ut.,ElectronicsMusic,01.06.2023,10.11.2023 01:12:51,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Fantastic Soft Gloves,True,0,Sleek
1,7898,3,Dolor.,BeautyKidsHome,20.10.2023,09.11.2023 22:59:35,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Ergonomic Fresh Mouse,True,0,Generic
2,8023,1,Repellat.,SportsElectronicsOutdoorsOutdoors,07.08.2023,09.11.2023 19:41:57,The Football Is Good For Training And Recreational Purposes,Sleek Steel Chips,True,0,Handmade
3,6929,2,Sit.,JeweleryToys,28.03.2023,10.11.2023 03:25:34,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Small Frozen Pants,True,0,Generic
4,5922,2,Qui.,Sports,18.08.2023,10.11.2023 13:55:19,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Sleek Steel Bacon,True,0,Handcrafted
5,2818,3,Ducimus.,ClothingGamesSportsHealth,01.04.2023,10.11.2023 09:34:32,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Unbranded Fresh Pizza,True,0,Incredible
6,8184,5,At.,GardenComputersHealth,03.05.2023,10.11.2023 05:18:00,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Intelligent Metal Shoes,True,0,Licensed
7,8237,5,Quibusdam.,BeautyClothing,24.02.2023,09.11.2023 19:08:42,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Sleek Granite Salad,True,0,Practical
8,5147,3,Ducimus.,BabyMusicElectronicsSportsKids,10.06.2023,10.11.2023 05:30:45,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Tasty Steel Towels,True,0,Refined
9,8114,0,Quia.,Home,20.10.2023,09.11.2023 20:32:21,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Incredible Plastic Hat,True,0,Incredible
10,9488,2,Quia.,GamesClothing,30.08.2023,10.11.2023 06:15:01,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Small Fresh Sausages,True,0,Awesome
11,4142,4,Repudiandae.,MusicElectronicsShoesIndustrial,16.05.2023,10.11.2023 10:55:26,The Football Is Good For Training And Recreational Purposes,Fantastic Concrete Fish,True,0,Tasty
12,6309,0,Sunt.,Home,11.12.2022,10.11.2023 04:19:29,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Handmade Cotton Bacon,True,0,Small
13,830,2,Qui.,ComputersIndustrialJeweleryHomeComputers,29.05.2023,09.11.2023 16:38:44,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Licensed Metal Hat,True,0,Licensed
14,6048,2,Odio.,BabyComputersHealthTools,20.06.2023,09.11.2023 18:05:16,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Small Cotton Bike,True,0,Handcrafted
15,2198,4,Sit.,Kids,25.02.2023,10.11.2023 01:34:16,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Unbranded Rubber Shirt,True,0,Handmade
16,7806,0,Voluptate.,BeautyGroceryBabyMoviesIndustrial,13.03.2023,10.11.2023 02:34:53,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Practical Concrete Keyboard,True,0,Rustic
17,8987,5,Sequi.,OutdoorsBaby,20.09.2023,10.11.2023 08:45:34,The Football Is Good For Training And Recreational Purposes,Practical Steel Ball,True,0,Licensed
