product_id,price,freight_value,sku,category_name,created_at,updated_at,description,name,active,seller_id,status
0,3558,2,Ut.,Health,28.02.2023,10.11.2023 04:24:36,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Sleek Fresh Bike,True,0,Ergonomic
1,5624,0,Tempore.,Sports,29.01.2023,09.11.2023 13:55:42,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Generic Cotton Sausages,True,0,Handmade
2,8005,4,Non.,AutomotiveAutomotive,01.04.2023,10.11.2023 03:03:36,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Awesome Frozen Tuna,True,0,Tasty
3,8503,4,Esse.,ToysToysAutomotive,20.03.2023,09.11.2023 19:16:05,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Handcrafted Wooden Cheese,True,0,Generic
4,4742,0,Maiores.,ClothingElectronicsBooksGamesIndustrial,02.05.2023,09.11.2023 14:22:35,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Intelligent Soft Salad,True,0,Ergonomic
5,9197,3,Pariatur.,BabyIndustrialKidsAutomotiveJewelery,03.02.2023,10.11.2023 00:05:17,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Incredible Cotton Soap,True,0,Fantastic
6,9048,4,Qui.,HomeToolsBooks,14.10.2023,10.11.2023 02:24:27,The Football Is Good For Training And Recreational Purposes,Gorgeous Frozen Pants,True,0,Fantastic
7,6361,0,Quia.,MusicBeauty,16.03.2023,09.11.2023 14:57:37,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Sleek Metal Salad,True,0,Practical
8,536,4,Placeat.,BabyGarden,21.01.2023,10.11.2023 08:42:33,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Intelligent Plastic Hat,True,0,Small
9,1918,0,Aliquid.,BooksMusicToolsToolsGarden,12.08.2023,10.11.2023 02:25:44,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Unbranded Concrete Tuna,True,0,Small
10,8240,2,Voluptas.,BeautyBooks,04.02.2023,10.11.2023 08:15:35,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Refined Rubber Chicken,True,0,Sleek
11,8280,5,Perspiciatis.,Beauty,26.09.2023,09.11.2023 18:13:25,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Generic Cotton Ball,True,0,Handmade
12,9635,0,Aperiam.,ShoesMoviesIndustrial,29.11.2022,10.11.2023 11:14:08,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Gorgeous Rubber Hat,True,0,Unbranded
13,4839,5,Magnam.,ElectronicsSports,23.10.2023,10.11.2023 09:38:11,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Handcrafted Concrete Chicken,True,0,Sleek
14,1033,4,Nobis.,BeautyTools,02.04.2023,09.11.2023 15:16:21,The Football Is Good For Training And Recreational Purposes,Fantastic Wooden Tuna,True,0,Ergonomic
15,8784,3,Praesentium.,ToolsKidsGrocery,06.07.2023,10.11.2023 02:37:35,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Unbranded Granite Chicken,True,0,Refined
16,9590,1,Et.,GamesAutomotive,23.04.2023,10.11.2023 09:53:43,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Intelligent Cotton Bacon,True,0,Rustic
17,46,4,Aut.,OutdoorsHealthElectronicsToysJewelery,17.02.2023,10.11.2023 05:26:14,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Refined Metal Keyboard,True,0,Rustic
18,9004,1,Ipsam.,Toys,26.05.2023,10.11.2023 01:03:51,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Handcrafted Steel Shoes,True,0,Rustic
19,7377,4,Sint.,BeautyOutdoorsTools,19.08.2023,10.11.2023 06:50:43,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Awesome Soft Chips,True,0,Refined
20,3018,1,Et.,Beauty,24.02.2023,10.11.2023 09:54:01,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Awesome Steel Mouse,True,0,Incredible
21,3465,3,Animi.,BooksIndustrialMovies,01.12.2022,10.11.2023 06:09:03,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Licensed Rubber Pizza,True,0,Intelligent
22,311,1,Enim.,ToolsGamesHealthBeautyOutdoors,31.05.2023,10.11.2023 02:33:43,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Ergonomic Wooden Gloves,True,0,Practical
