product_id,price,freight_value,sku,category_name,created_at,updated_at,description,name,active,seller_id,status
0,9799,5,Cum.,GardenAutomotive,18.01.2023,09.11.2023 21:48:46,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Unbranded Wooden Car,True,0,Fantastic
1,3858,4,Est.,Books,26.02.2023,10.11.2023 01:59:38,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Sleek Plastic Gloves,True,0,Generic
2,5705,1,Dolorum.,JewelerySportsToysComputersElectronics,07.12.2022,09.11.2023 15:14:05,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Gorgeous Wooden Mouse,True,0,Sleek
3,6796,5,Officia.,ClothingHomeHome,09.05.2023,10.11.2023 00:04:18,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Sleek Metal Chair,True,0,Gorgeous
4,6291,1,Harum.,Toys,09.03.2023,10.11.2023 00:56:26,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Practical Concrete Shirt,True,0,Rustic
5,8475,2,Error.,Home,14.04.2023,10.11.2023 09:32:56,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Generic Frozen Salad,True,0,Tasty
6,4616,2,Error.,IndustrialHome,04.08.2023,10.11.2023 03:30:44,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Awesome Frozen Computer,True,0,Sleek
7,1238,3,Tempora.,OutdoorsBeautySports,01.12.2022,10.11.2023 09:55:08,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Intelligent Rubber Sausages,True,0,Sleek
8,9668,5,Est.,BabyJewelery,12.06.2023,09.11.2023 19:58:39,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Intelligent Steel Soap,True,0,Rustic
9,7898,3,Quia.,Toys,10.01.2023,10.11.2023 04:45:39,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Generic Granite Car,True,0,Tasty
10,2230,1,Modi.,IndustrialHomeShoesMusic,08.07.2023,09.11.2023 21:10:11,The Football Is Good For Training And Recreational Purposes,Awesome Soft Sausages,True,0,Refined
11,458,4,Suscipit.,Sports,23.05.2023,09.11.2023 20:04:55,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Rustic Soft Chair,True,0,Awesome
12,226,3,Quos.,ClothingBabyGroceryBabyAutomotive,23.08.2023,10.11.2023 12:28:40,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Licensed Concrete Cheese,True,0,Gorgeous
13,2111,5,Quibusdam.,ComputersGamesGarden,15.08.2023,10.11.2023 07:07:00,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Gorgeous Granite Salad,True,0,Rustic
14,5904,3,Similique.,ClothingElectronics,27.10.2023,10.11.2023 03:38:12,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Unbranded Steel Chicken,True,0,Refined
15,8588,2,Ullam.,Kids,23.11.2022,10.11.2023 01:51:53,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Refined Soft Chair,True,0,Tasty
16,9620,3,Quae.,OutdoorsElectronics,25.01.2023,09.11.2023 22:16:42,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Unbranded Frozen Sausages,True,0,Fantastic
17,3058,1,Officia.,AutomotiveBabySportsIndustrial,20.12.2022,10.11.2023 03:54:14,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Practical Steel Sausages,True,0,Practical
18,5857,1,Nihil.,OutdoorsToysClothingHealthKids,23.08.2023,10.11.2023 02:11:10,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Incredible Frozen Bacon,True,0,Ergonomic
19,4890,1,Sit.,BeautyKidsHomeBabyGarden,18.02.2023,09.11.2023 20:12:40,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Ergonomic Steel Soap,True,0,Tasty
20,7096,0,Ea.,BabyBooks,02.02.2023,09.11.2023 16:49:09,The Football Is Good For Training And Recreational Purposes,Generic Cotton Fish,True,0,Licensed
21,8516,4,Est.,KidsHomeBaby,31.01.2023,10.11.2023 12:20:17,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Handcrafted Frozen Fish,True,0,Handmade
22,3401,2,Qui.,Automotive,13.03.2023,09.11.2023 20:16:57,The Football Is Good For Training And Recreational Purposes,Fantastic Plastic Computer,True,0,Handcrafted
23,1183,1,Necessitatibus.,GamesSports,11.02.2023,10.11.2023 02:38:41,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Ergonomic Fresh Computer,True,0,Ergonomic
24,7867,0,Iure.,HomeOutdoorsComputersToolsTools,25.08.2023,09.11.2023 14:58:03,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Handcrafted Rubber Keyboard,True,0,Incredible
25,9539,3,Eveniet.,Outdoors,24.11.2022,09.11.2023 18:34:34,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Refined Wooden Sausages,True,0,Gorgeous
26,9869,0,Laborum.,MoviesHome,22.03.2023,09.11.2023 14:44:07,The Football Is Good For Training And Recreational Purposes,Ergonomic Granite Keyboard,True,0,Generic
27,383,2,Sint.,HomeKidsBooksKids,07.11.2023,10.11.2023 08:38:12,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Awesome Rubber Chair,True,0,Licensed
28,3312,0,Qui.,ToolsHealthElectronicsBeauty,19.03.2023,10.11.2023 08:03:52,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Refined Soft Ball,True,0,Ergonomic
29,3846,0,Ut.,HealthShoesOutdoors,30.07.2023,10.11.2023 10:51:16,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Refined Concrete Computer,True,0,Unbranded
