product_id,price,freight_value,sku,category_name,created_at,updated_at,description,name,active,seller_id,status
0,7671,5,Suscipit.,SportsGames,20-04-2023,08-11-2023 19:41:48,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Licensed Cotton Bike,True,0,Practical
1,2409,5,Culpa.,GroceryMoviesAutomotiveGardenGames,18-05-2023,09-11-2023 11:43:05,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Incredible Wooden Shirt,True,0,Refined
2,5284,1,Dolore.,HomeSports,05-03-2023,09-11-2023 07:50:51,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Fantastic Frozen Mouse,True,0,Refined
3,4750,3,Velit.,ToysGroceryOutdoorsShoes,09-11-2023,08-11-2023 15:32:27,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Handcrafted Concrete Bike,True,0,Practical
4,1855,1,Quas.,ElectronicsBeauty,08-03-2023,09-11-2023 07:25:05,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Rustic Fresh Ball,True,0,Handmade
5,463,1,Amet.,Jewelery,18-09-2023,09-11-2023 04:34:11,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Incredible Wooden Bacon,True,0,Licensed
6,945,2,Ut.,HomeComputersHomeTools,14-09-2023,09-11-2023 13:47:10,The Football Is Good For Training And Recreational Purposes,Fantastic Fresh Pizza,True,0,Tasty
7,7192,2,Accusamus.,BeautyGarden,13-09-2023,09-11-2023 04:26:46,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Generic Metal Bike,True,0,Gorgeous
8,2581,2,Inventore.,JeweleryGrocery,01-12-2022,08-11-2023 18:51:11,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Gorgeous Concrete Pants,True,0,Small
9,9081,1,Pariatur.,HomeHomeGardenGames,24-05-2023,09-11-2023 03:21:47,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Tasty Rubber Pants,True,0,Intelligent
10,2761,0,Harum.,AutomotiveIndustrialKidsMovies,21-03-2023,09-11-2023 06:11:34,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Ergonomic Plastic Shirt,True,0,Handmade
11,7303,4,Eveniet.,GamesMusicIndustrialJewelerySports,15-09-2023,08-11-2023 21:16:53,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Small Fresh Keyboard,True,0,Small
12,5290,5,In.,IndustrialElectronicsHome,20-03-2023,08-11-2023 19:59:56,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Practical Rubber Bacon,True,0,Gorgeous
13,2745,4,Non.,MoviesJeweleryHome,27-10-2023,08-11-2023 22:28:35,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Ergonomic Metal Salad,True,0,Practical
14,6750,2,Ab.,BeautyAutomotive,08-10-2023,08-11-2023 23:07:38,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Fantastic Plastic Gloves,True,0,Gorgeous
15,9879,2,Sit.,Garden,13-11-2022,08-11-2023 23:00:13,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Unbranded Fresh Tuna,True,0,Unbranded
16,9148,2,Nemo.,HealthHealthBabyGroceryBaby,31-05-2023,09-11-2023 07:54:12,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Handmade Concrete Car,True,0,Practical
17,917,4,Porro.,ClothingHome,17-10-2023,08-11-2023 23:14:06,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Gorgeous Metal Towels,True,0,Unbranded
18,775,3,Voluptatem.,AutomotiveToolsIndustrial,17-05-2023,08-11-2023 18:17:03,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Sleek Wooden Chips,True,0,Small
19,1682,3,Necessitatibus.,IndustrialGroceryComputers,06-08-2023,08-11-2023 17:14:08,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Handcrafted Cotton Bacon,True,0,Unbranded
20,867,3,Quaerat.,MoviesHealth,31-07-2023,09-11-2023 11:33:54,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Sleek Plastic Towels,True,0,Licensed
21,7548,4,Vel.,ToysBooksOutdoorsBeauty,08-08-2023,09-11-2023 14:30:12,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Tasty Plastic Mouse,True,0,Ergonomic
22,9570,3,Dolor.,Automotive,18-05-2023,09-11-2023 11:45:53,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Incredible Fresh Shoes,True,0,Gorgeous
23,7120,3,Nam.,HealthIndustrialClothingMusicAutomotive,09-11-2022,09-11-2023 15:04:43,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Gorgeous Steel Pizza,True,0,Incredible
24,1157,2,Ut.,MusicIndustrial,11-12-2022,09-11-2023 10:14:11,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Fantastic Metal Computer,True,0,Ergonomic
25,1490,1,Aut.,MusicMusicElectronicsHealth,30-07-2023,08-11-2023 17:20:02,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Refined Steel Computer,True,0,Incredible
26,2105,4,Expedita.,GamesHomeToolsToolsBeauty,12-12-2022,09-11-2023 08:53:13,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Licensed Frozen Bike,True,0,Rustic
27,6947,1,Nihil.,ToolsGroceryIndustrialComputersHealth,18-03-2023,09-11-2023 11:25:51,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Generic Granite Chair,True,0,Gorgeous
28,602,1,Nostrum.,Music,24-09-2023,09-11-2023 01:07:13,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Incredible Steel Salad,True,0,Generic
29,5928,1,Tenetur.,HealthClothingClothing,01-01-2023,09-11-2023 07:36:09,The Football Is Good For Training And Recreational Purposes,Handcrafted Rubber Fish,True,0,Intelligent
30,8885,2,Qui.,Baby,14-09-2023,09-11-2023 07:55:10,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Fantastic Cotton Bike,True,0,Awesome
31,4864,2,Velit.,Books,22-10-2023,08-11-2023 22:01:29,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Intelligent Metal Ball,True,0,Awesome
32,4912,1,Quaerat.,Tools,13-06-2023,09-11-2023 10:12:10,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Handcrafted Wooden Ball,True,0,Gorgeous
33,360,3,Quae.,MusicMoviesElectronics,19-01-2023,08-11-2023 21:42:34,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Licensed Plastic Chicken,True,0,Handcrafted
34,311,2,Unde.,ToolsHomeAutomotiveShoes,15-11-2022,08-11-2023 15:53:38,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Unbranded Rubber Shoes,True,0,Unbranded
35,2380,5,Ut.,ShoesBeautyBaby,22-12-2022,08-11-2023 22:22:43,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Fantastic Cotton Gloves,True,0,Sleek
36,6725,0,Expedita.,BeautyMusic,16-03-2023,08-11-2023 21:03:58,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Handmade Soft Bike,True,0,Incredible
37,4857,4,Architecto.,ShoesToolsSportsComputers,14-02-2023,08-11-2023 16:48:44,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Gorgeous Metal Shoes,True,0,Tasty
38,6871,5,Amet.,AutomotiveGardenBeauty,08-09-2023,09-11-2023 02:04:49,The Football Is Good For Training And Recreational Purposes,Small Metal Computer,True,0,Intelligent
39,1479,4,Eaque.,HealthMusicHealthMusic,27-11-2022,09-11-2023 01:21:06,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Unbranded Plastic Soap,True,0,Tasty
40,6076,0,Maiores.,BooksGroceryShoes,03-10-2023,08-11-2023 21:00:21,The Football Is Good For Training And Recreational Purposes,Unbranded Soft Cheese,True,0,Generic
41,943,0,Voluptatum.,BooksGardenBeautyKids,27-09-2023,08-11-2023 20:16:07,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Refined Steel Towels,True,0,Ergonomic
42,979,2,Exercitationem.,HealthHealthBabyBooksKids,21-09-2023,09-11-2023 03:00:51,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Rustic Frozen Shirt,True,0,Ergonomic
43,1907,2,Et.,Jewelery,05-12-2022,08-11-2023 16:42:53,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Tasty Metal Table,True,0,Intelligent
44,1642,4,Tenetur.,GamesToysGames,06-08-2023,08-11-2023 22:48:16,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Practical Steel Ball,True,0,Handmade
45,9352,2,Quo.,GamesToysShoesJeweleryBooks,25-06-2023,09-11-2023 03:54:10,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Tasty Fresh Shoes,True,0,Licensed
46,5583,2,Sequi.,ShoesHomeGamesMusic,19-02-2023,08-11-2023 19:22:26,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Small Metal Mouse,True,0,Generic
47,9664,0,Doloribus.,ComputersGroceryToys,24-09-2023,09-11-2023 06:47:47,The Football Is Good For Training And Recreational Purposes,Incredible Soft Chicken,True,0,Generic
48,38,2,In.,ElectronicsBooksMoviesMusicGames,18-12-2022,09-11-2023 08:59:28,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Refined Soft Chair,True,0,Handcrafted
49,1821,5,Est.,AutomotiveClothing,15-09-2023,08-11-2023 16:46:24,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Gorgeous Concrete Computer,True,0,Incredible
50,5964,1,Magnam.,ShoesShoesAutomotiveKidsMovies,05-10-2023,09-11-2023 06:59:22,The Football Is Good For Training And Recreational Purposes,Handcrafted Wooden Tuna,True,0,Generic
51,5021,5,Repellat.,ShoesOutdoorsToolsShoes,20-02-2023,09-11-2023 05:14:40,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Ergonomic Soft Chicken,True,0,Licensed
52,6293,3,Expedita.,GamesKidsBabyMusicAutomotive,21-11-2022,08-11-2023 21:45:25,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Generic Plastic Pizza,True,0,Licensed
53,1912,3,Omnis.,MoviesOutdoorsGardenAutomotiveToys,20-03-2023,09-11-2023 07:46:47,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Ergonomic Rubber Salad,True,0,Intelligent
54,9369,4,Sint.,Computers,14-03-2023,09-11-2023 03:24:33,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Intelligent Concrete Chips,True,0,Incredible
55,5241,3,Consequatur.,BabyAutomotiveOutdoorsBabyBeauty,16-11-2022,09-11-2023 08:46:07,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Practical Steel Cheese,True,0,Intelligent
56,1553,4,Fuga.,Garden,14-12-2022,09-11-2023 02:05:40,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Refined Metal Tuna,True,0,Licensed
57,3584,5,Facilis.,Jewelery,24-01-2023,08-11-2023 15:17:36,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Gorgeous Metal Cheese,True,0,Sleek
58,9991,4,Enim.,HealthBeauty,25-02-2023,09-11-2023 14:05:52,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Rustic Plastic Sausages,True,0,Small
59,353,2,Consequatur.,Tools,14-03-2023,09-11-2023 03:42:45,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Handmade Plastic Gloves,True,0,Intelligent
60,6704,2,Aspernatur.,SportsElectronicsBooksComputersMusic,21-08-2023,08-11-2023 20:32:28,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Rustic Frozen Pants,True,0,Ergonomic
61,5932,2,Dolores.,OutdoorsAutomotiveGames,09-11-2023,08-11-2023 16:54:02,The Football Is Good For Training And Recreational Purposes,Tasty Granite Pants,True,0,Small
62,3286,5,Ipsum.,JeweleryToys,25-12-2022,09-11-2023 14:29:02,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Ergonomic Frozen Table,True,0,Handcrafted
63,6066,5,Odio.,JeweleryGroceryTools,12-09-2023,08-11-2023 17:47:36,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Fantastic Wooden Bike,True,0,Rustic
64,9702,3,Sunt.,HealthBeautyGroceryKids,18-09-2023,09-11-2023 07:58:38,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Intelligent Concrete Hat,True,0,Intelligent
