product_id,price,freight_value,sku,category_name,created_at,updated_at,description,name,active,seller_id,status
0,8940,0,Vitae.,MusicSportsClothingMoviesOutdoors,12-11-2022,08-11-2023 23:03:33,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Gorgeous Plastic Sausages,True,0,Generic
1,3541,0,Error.,HomeHomeClothingToys,25-03-2023,09-11-2023 13:27:03,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Intelligent Cotton Computer,True,0,Practical
2,3511,2,Dolores.,Shoes,26-10-2023,09-11-2023 08:04:23,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Ergonomic Granite Table,True,0,Generic
3,1225,3,Beatae.,MoviesGamesHome,12-12-2022,09-11-2023 06:01:01,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Handcrafted Frozen Cheese,True,0,Incredible
4,6105,2,Et.,BeautyMovies,29-05-2023,08-11-2023 18:40:10,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Unbranded Soft Shirt,True,0,Unbranded
5,9397,3,Delectus.,SportsElectronics,30-12-2022,09-11-2023 11:40:27,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Ergonomic Concrete Tuna,True,0,Small
6,8817,1,Inventore.,ToolsJeweleryOutdoors,18-10-2023,09-11-2023 01:33:06,The Football Is Good For Training And Recreational Purposes,Generic Steel Tuna,True,0,Fantastic
7,6295,1,Veritatis.,IndustrialMoviesTools,06-03-2023,08-11-2023 15:41:05,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Rustic Fresh Pants,True,0,Incredible
8,4695,1,Soluta.,Movies,05-05-2023,08-11-2023 15:24:04,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Fantastic Plastic Bike,True,0,Intelligent
9,4844,4,Qui.,IndustrialOutdoorsToysMovies,22-05-2023,09-11-2023 11:29:22,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Gorgeous Plastic Keyboard,True,0,Awesome
10,64,1,Sapiente.,JewelerySportsMoviesIndustrialMusic,30-12-2022,09-11-2023 06:01:28,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,Practical Plastic Table,True,0,Incredible
