Quantity,product_id,price,freight_value,sku,category_name,created_at,updated_at,description,name,active,seller_id,status
6224,409,9286,3,Ea.,BooksOutdoorsMoviesToys,09.07.2023,28.09.2023 07:07:11,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Small Metal Pants,True,0,Tasty
2317,840,3044,2,Architecto.,MusicClothingKidsComputers,02.12.2022,28.09.2023 19:47:27,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Tasty Concrete Keyboard,True,0,Licensed
9860,100,1039,2,Quae.,BabyJewelerySports,14.05.2023,28.09.2023 22:58:22,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Licensed Granite Ball,True,0,Licensed
5486,113,939,2,Nemo.,Music,23.06.2023,28.09.2023 08:16:54,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Unbranded Soft Salad,True,0,Handcrafted
6848,33,6879,5,Nulla.,ToolsBooksClothingToolsGarden,11.08.2023,28.09.2023 06:17:24,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Awesome Steel Chips,True,0,Practical
1997,967,8199,4,In.,Home,27.10.2022,28.09.2023 05:31:57,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Handcrafted Rubber Cheese,True,0,Awesome
4776,419,2493,5,Voluptas.,HomeGardenBeautyBeauty,09.01.2023,28.09.2023 23:27:21,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Awesome Rubber Chips,True,0,Fantastic
5615,165,7592,1,Et.,GardenBeautyBeautyShoesBeauty,12.07.2023,28.09.2023 08:52:43,The Football Is Good For Training And Recreational Purposes,Intelligent Cotton Fish,True,0,Unbranded
4316,306,8737,4,Vitae.,HealthMusicComputersShoes,15.10.2022,28.09.2023 08:24:06,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Unbranded Concrete Hat,True,0,Rustic
3169,21,4348,5,Iure.,SportsHealthComputers,02.11.2022,28.09.2023 21:36:00,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Generic Granite Shoes,True,0,Intelligent
2615,2,9695,1,Voluptatem.,SportsShoesHealthGardenJewelery,10.11.2022,28.09.2023 04:14:35,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Tasty Rubber Tuna,True,0,Generic
8481,564,9737,0,Sed.,SportsClothing,22.08.2023,28.09.2023 02:19:04,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Intelligent Granite Keyboard,True,0,Awesome
6592,897,7629,0,Voluptatem.,KidsBeauty,07.04.2023,28.09.2023 04:53:12,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",Sleek Plastic Bacon,True,0,Generic
1621,562,5426,1,Ut.,ComputersSports,30.07.2023,28.09.2023 23:07:25,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,Small Steel Tuna,True,0,Rustic
1268,201,9062,4,Accusamus.,GardenMovies,10.01.2023,28.09.2023 01:45:05,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Ergonomic Plastic Bike,True,0,Ergonomic
2217,174,1820,5,Eum.,HomeHomeGamesOutdoorsToys,30.07.2023,28.09.2023 00:52:50,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Intelligent Granite Mouse,True,0,Tasty
236,402,562,5,Sed.,Sports,25.03.2023,28.09.2023 10:42:28,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Small Cotton Keyboard,True,0,Unbranded
9896,554,8602,0,Voluptate.,HealthGroceryGardenBooks,28.01.2023,28.09.2023 07:26:08,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",Tasty Plastic Mouse,True,0,Refined
317,451,6677,5,Consequatur.,Shoes,04.03.2023,28.09.2023 03:14:48,Ergonomic executive chair upholstered in bonded black leather and PVC padded seat and back for all-day comfort and support,Unbranded Cotton Hat,True,0,Practical
4975,427,2682,4,Ut.,HomeJewelery,17.08.2023,28.09.2023 18:23:21,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Small Cotton Bike,True,0,Sleek
8996,851,9318,0,Qui.,GroceryJeweleryHomeSports,11.01.2023,28.09.2023 05:42:42,The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality,Intelligent Concrete Towels,True,0,Rustic
2622,58,2785,4,Et.,IndustrialMusicElectronicsShoes,01.02.2023,28.09.2023 12:00:50,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Handmade Frozen Hat,True,0,Generic
1100,202,486,4,Nemo.,ShoesHome,14.05.2023,28.09.2023 10:02:34,The Football Is Good For Training And Recreational Purposes,Licensed Steel Salad,True,0,Rustic
8098,173,8056,0,Quibusdam.,BabyClothing,16.09.2023,28.09.2023 14:59:32,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Awesome Soft Soap,True,0,Ergonomic
3708,0,8536,5,Qui.,BabyGamesGardenToolsHome,05.12.2022,28.09.2023 18:08:51,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Tasty Steel Gloves,True,0,Awesome
113,716,8488,5,Cumque.,Grocery,18.03.2023,28.09.2023 05:44:13,"Boston's most advanced compression wear technology increases muscle oxygenation, stabilizes active muscles",Unbranded Fresh Shoes,True,0,Practical
2543,270,9018,1,Voluptatum.,MusicAutomotiveGroceryBabyMusic,02.01.2023,28.09.2023 23:34:12,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Tasty Concrete Shirt,True,0,Refined
9309,226,5656,0,Quidem.,Garden,18.04.2023,28.09.2023 05:00:10,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",Handcrafted Steel Car,True,0,Gorgeous
5153,354,748,4,Voluptatem.,GamesClothingAutomotiveMoviesJewelery,12.09.2023,28.09.2023 02:52:11,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",Awesome Concrete Ball,True,0,Handcrafted
1739,320,1885,2,Sunt.,SportsClothing,31.12.2022,28.09.2023 05:22:33,The Football Is Good For Training And Recreational Purposes,Fantastic Granite Towels,True,0,Fantastic
7874,269,1769,0,Reiciendis.,GroceryJeweleryToysBeautyElectronics,25.06.2023,28.09.2023 20:34:38,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Small Granite Bike,True,0,Generic
9706,142,7994,3,Aut.,ToysJewelery,06.04.2023,28.09.2023 03:44:32,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",Practical Plastic Soap,True,0,Tasty
1702,248,6829,1,Maxime.,Shoes,13.04.2023,28.09.2023 17:18:47,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,Tasty Soft Fish,True,0,Fantastic
